"emp_length","length_of_employment"
"0","< 1 year"
"1","1 year"
"10","10+ years"
"2","2 years"
"3","3 years"
"4","4 years"
"5","5 years"
"6","6 years"
"7","7 years"
"8","8 years"
"9","9 years"
"999","n/a"
