"reasoncode","reason"
"0","Other"
"1","Major purchase"
"10","Home buying"
"11","Green loan"
"2","Credit card refinancing"
"3","Debt consolidation"
"4","Home improvement"
"5","Medical expenses"
"6","Vacation"
"7","Car financing"
"8","Business"
"9","Moving and relocation"
